"name"	"SN2003cg"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"1"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"2"	"secondary"	"1"
"source"	"name"	"N.Elias-Rosa et al., 2006, astro-ph/0603316"	"alias"	"3"
"source"	"name"	"VSNET Oct2003"	"alias"	"4"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"5"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"6"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Itagaki, Arbour"
"photometry"	"timeunit"	"MJD"	"time"	"52734.96"	"band"	"C"	"abmag"	"14.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52734.97"	"band"	"R"	"abmag"	"14.7"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52735.49"	"band"	"C"	"abmag"	"14.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52735.82"	"band"	"R"	"abmag"	"14.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52735.9"	"band"	"R"	"abmag"	"14.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52736.01"	"band"	"B"	"abmag"	"16.22"	"aberr"	"0.08"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.01"	"band"	"I"	"abmag"	"14.12"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.01"	"band"	"R"	"abmag"	"14.35"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.01"	"band"	"V"	"abmag"	"14.93"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.3"	"band"	"B"	"abmag"	"16.25"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.3"	"band"	"I"	"abmag"	"14.08"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.3"	"band"	"R"	"abmag"	"14.39"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.3"	"band"	"V"	"abmag"	"14.92"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52736.49"	"band"	"C"	"abmag"	"14.4"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52736.85"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52736.97"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52737.25"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.19300"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52737.25"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.40500"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52737.25"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.90500"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52737.25"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.19700"	"aberr"	"0.01900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52737.93"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52737.95"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52738.24"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.27900"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52738.24"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.50600"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52738.24"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.99100"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52738.24"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.27900"	"aberr"	"0.02000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52738.4"	"band"	"B"	"abmag"	"16.45"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52738.4"	"band"	"I"	"abmag"	"14.27"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52738.4"	"band"	"R"	"abmag"	"14.56"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52738.4"	"band"	"U"	"abmag"	"17.26"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52738.4"	"band"	"V"	"abmag"	"14.99"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52738.59"	"band"	"C"	"abmag"	"13.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52738.71088"	"band"	"U"	"abmag"	"17.38"	"aberr"	"0.048"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52738.71409"	"band"	"B"	"abmag"	"16.418"	"aberr"	"0.024"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52738.71656"	"band"	"V"	"abmag"	"14.96"	"aberr"	"0.011"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52738.71834"	"band"	"R"	"abmag"	"14.549"	"aberr"	"0.019"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52738.71979"	"band"	"I"	"abmag"	"14.257"	"aberr"	"0.014"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52739.11"	"band"	"C"	"abmag"	"14.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52739.23"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.32500"	"aberr"	"0.01200"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52739.23"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.54900"	"aberr"	"0.01100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52739.23"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.01600"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52739.23"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.34400"	"aberr"	"0.02500"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52739.93"	"band"	"R"	"abmag"	"14.9"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52740.37"	"band"	"B"	"abmag"	"16.65"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52740.37"	"band"	"I"	"abmag"	"14.37"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52740.37"	"band"	"R"	"abmag"	"14.68"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52740.37"	"band"	"U"	"abmag"	"17.51"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52740.37"	"band"	"V"	"abmag"	"15.13"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52740.7"	"band"	"R"	"abmag"	"14.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52741.4"	"band"	"B"	"abmag"	"16.79"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52741.4"	"band"	"I"	"abmag"	"14.33"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52741.4"	"band"	"R"	"abmag"	"14.73"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52741.4"	"band"	"U"	"abmag"	"17.69"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52741.4"	"band"	"V"	"abmag"	"15.17"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52741.92"	"band"	"R"	"abmag"	"15.1"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52742.57"	"band"	"B"	"abmag"	"16.93"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52742.57"	"band"	"I"	"abmag"	"14.36"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52742.57"	"band"	"R"	"abmag"	"14.78"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52742.57"	"band"	"U"	"abmag"	"18.06"	"aberr"	"0.13"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52742.57"	"band"	"V"	"abmag"	"15.19"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52743.52"	"band"	"B"	"abmag"	"17.13"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52743.52"	"band"	"I"	"abmag"	"14.37"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52743.52"	"band"	"R"	"abmag"	"14.81"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52743.52"	"band"	"U"	"abmag"	"18.1"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52743.52"	"band"	"V"	"abmag"	"15.26"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52744.58"	"band"	"B"	"abmag"	"17.22"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52744.58"	"band"	"I"	"abmag"	"14.3"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52744.58"	"band"	"R"	"abmag"	"14.82"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52744.58"	"band"	"U"	"abmag"	"18.4"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52744.58"	"band"	"V"	"abmag"	"15.3"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52744.80318"	"band"	"B"	"abmag"	"17.188"	"aberr"	"0.027"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52744.80689"	"band"	"V"	"abmag"	"15.407"	"aberr"	"0.021"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52744.80868"	"band"	"R"	"abmag"	"14.891"	"aberr"	"0.029"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52744.81013"	"band"	"I"	"abmag"	"14.369"	"aberr"	"0.02"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52745.59"	"band"	"B"	"abmag"	"17.34"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52745.59"	"band"	"I"	"abmag"	"14.24"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52745.59"	"band"	"R"	"abmag"	"14.83"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52745.59"	"band"	"U"	"abmag"	"18.78"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52745.59"	"band"	"V"	"abmag"	"15.33"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52746.61"	"band"	"B"	"abmag"	"17.42"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52746.61"	"band"	"I"	"abmag"	"14.24"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52746.61"	"band"	"R"	"abmag"	"14.84"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52746.61"	"band"	"U"	"abmag"	"18.93"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52746.61"	"band"	"V"	"abmag"	"15.41"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52746.97"	"band"	"R"	"abmag"	"15.4"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52747.54"	"band"	"B"	"abmag"	"17.57"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52747.54"	"band"	"I"	"abmag"	"14.22"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52747.54"	"band"	"R"	"abmag"	"14.85"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52747.54"	"band"	"U"	"abmag"	"19.04"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52747.54"	"band"	"V"	"abmag"	"15.42"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52748.22"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.30800"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52748.22"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.88400"	"aberr"	"0.01100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52748.22"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.54200"	"aberr"	"0.01400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52748.22"	"band"	"B"	"instrument"	"kait3"	"abmag"	"17.31700"	"aberr"	"0.03600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52748.57"	"band"	"B"	"abmag"	"17.68"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52748.57"	"band"	"I"	"abmag"	"14.2"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52748.57"	"band"	"R"	"abmag"	"14.85"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52748.57"	"band"	"U"	"abmag"	"19.26"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52748.57"	"band"	"V"	"abmag"	"15.47"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52749.22"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.27500"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52749.22"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.89800"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52749.22"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.59800"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52749.22"	"band"	"B"	"instrument"	"kait3"	"abmag"	"17.43000"	"aberr"	"0.03400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52749.64"	"band"	"B"	"abmag"	"17.77"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52749.64"	"band"	"I"	"abmag"	"14.17"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52749.64"	"band"	"R"	"abmag"	"14.87"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52749.64"	"band"	"U"	"abmag"	"19.29"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52749.64"	"band"	"V"	"abmag"	"15.53"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52749.73289"	"band"	"V"	"abmag"	"15.569"	"aberr"	"0.013"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52749.73469"	"band"	"R"	"abmag"	"14.83"	"aberr"	"0.016"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52749.73615"	"band"	"I"	"abmag"	"14.199"	"aberr"	"0.016"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52750.48"	"band"	"B"	"abmag"	"17.92"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52750.48"	"band"	"I"	"abmag"	"14.17"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52750.48"	"band"	"R"	"abmag"	"14.9"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52750.48"	"band"	"U"	"abmag"	"19.3"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52750.48"	"band"	"V"	"abmag"	"15.54"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52750.85"	"band"	"R"	"abmag"	"15.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52750.9"	"band"	"R"	"abmag"	"14.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52751.51"	"band"	"B"	"abmag"	"17.98"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52751.51"	"band"	"I"	"abmag"	"14.15"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52751.51"	"band"	"R"	"abmag"	"14.9"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52751.51"	"band"	"U"	"abmag"	"19.48"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52751.51"	"band"	"V"	"abmag"	"15.6"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.45"	"band"	"B"	"abmag"	"18.09"	"aberr"	"0.08"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.45"	"band"	"I"	"abmag"	"14.16"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.45"	"band"	"R"	"abmag"	"14.93"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.69"	"band"	"B"	"abmag"	"18.17"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.69"	"band"	"I"	"abmag"	"14.11"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.69"	"band"	"R"	"abmag"	"14.92"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.69"	"band"	"U"	"abmag"	"19.57"	"aberr"	"0.09"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52752.69"	"band"	"V"	"abmag"	"15.65"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52753.51"	"band"	"B"	"abmag"	"18.26"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52753.51"	"band"	"I"	"abmag"	"14.15"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52753.51"	"band"	"R"	"abmag"	"14.93"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52753.51"	"band"	"U"	"abmag"	"19.73"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52753.51"	"band"	"V"	"abmag"	"15.69"	"aberr"	"0.08"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52753.89"	"band"	"R"	"abmag"	"14.9"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52754.5"	"band"	"B"	"abmag"	"18.34"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52754.5"	"band"	"I"	"abmag"	"14.13"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52754.5"	"band"	"R"	"abmag"	"14.99"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52754.5"	"band"	"U"	"abmag"	"19.84"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52754.5"	"band"	"V"	"abmag"	"15.78"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.35"	"band"	"R"	"abmag"	"15.02"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.35"	"band"	"V"	"abmag"	"15.9"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.61"	"band"	"B"	"abmag"	"18.46"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.61"	"band"	"I"	"abmag"	"14.12"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.61"	"band"	"R"	"abmag"	"15.06"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.61"	"band"	"U"	"abmag"	"19.91"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.61"	"band"	"V"	"abmag"	"15.82"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52755.81"	"band"	"R"	"abmag"	"15.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52756.19"	"band"	"R"	"instrument"	"kait3"	"abmag"	"15.06300"	"aberr"	"0.05400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52756.19"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.96500"	"aberr"	"0.03100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52756.5"	"band"	"B"	"abmag"	"18.57"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52756.5"	"band"	"I"	"abmag"	"14.16"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52756.5"	"band"	"R"	"abmag"	"15.09"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52756.5"	"band"	"U"	"abmag"	"19.9"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52756.5"	"band"	"V"	"abmag"	"15.94"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52757.65422"	"band"	"V"	"abmag"	"16.034"	"aberr"	"0.013"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52757.65671"	"band"	"R"	"abmag"	"15.094"	"aberr"	"0.015"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52757.65851"	"band"	"I"	"abmag"	"14.22"	"aberr"	"0.019"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52758.01"	"band"	"I"	"abmag"	"14.23"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52758.01"	"band"	"R"	"abmag"	"15.18"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52758.63"	"band"	"B"	"abmag"	"18.8"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52758.63"	"band"	"I"	"abmag"	"14.25"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52758.63"	"band"	"R"	"abmag"	"15.23"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52758.63"	"band"	"U"	"abmag"	"20.24"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52758.63"	"band"	"V"	"abmag"	"16.08"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52759.0"	"band"	"I"	"abmag"	"14.3"	"aberr"	"0.09"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52759.0"	"band"	"R"	"abmag"	"15.23"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52759.0"	"band"	"V"	"abmag"	"16.12"	"aberr"	"0.11"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52760.18"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.38000"	"aberr"	"0.04100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52760.18"	"band"	"R"	"instrument"	"kait3"	"abmag"	"15.34800"	"aberr"	"0.01900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52760.18"	"band"	"V"	"instrument"	"kait3"	"abmag"	"16.30000"	"aberr"	"0.02900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52760.18"	"band"	"B"	"instrument"	"kait3"	"abmag"	"18.31000"	"aberr"	"0.09600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52760.65"	"band"	"B"	"abmag"	"18.94"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52760.65"	"band"	"I"	"abmag"	"14.44"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52760.65"	"band"	"R"	"abmag"	"15.38"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52760.65"	"band"	"U"	"abmag"	"20.28"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52760.65"	"band"	"V"	"abmag"	"16.14"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52761.17"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.48400"	"aberr"	"0.01100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52761.17"	"band"	"R"	"instrument"	"kait3"	"abmag"	"15.45600"	"aberr"	"0.01400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52761.17"	"band"	"V"	"instrument"	"kait3"	"abmag"	"16.33300"	"aberr"	"0.01600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52761.17"	"band"	"B"	"instrument"	"kait3"	"abmag"	"18.57400"	"aberr"	"0.11000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52761.49"	"band"	"B"	"abmag"	"18.98"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52761.49"	"band"	"I"	"abmag"	"14.52"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52761.49"	"band"	"R"	"abmag"	"15.44"	"aberr"	"0.02"	"source"	"2,3"
