"name"	"SN1994I"
"source"	"name"	"<a href='https://www.nhn.ou.edu/~suspect/'>SUSPECT</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996AJ....111..327R&amp;db_key=AST'>1996AJ....111..327R</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"M.Richmond, E-mail"	"alias"	"4"
"photometry"	"timeunit"	"MJD"	"time"	"49463.35"	"band"	"I"	"abmag"	"13.23"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49463.6"	"band"	"I"	"abmag"	"13.4"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49463.6"	"band"	"I"	"abmag"	"13.37"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49463.6"	"band"	"R"	"abmag"	"13.73"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49463.6"	"band"	"R"	"abmag"	"13.8"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49463.6"	"band"	"V"	"abmag"	"14.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49463.6"	"band"	"V"	"abmag"	"14.28"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49465.03"	"band"	"V"	"abmag"	"13.98"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49466.6"	"band"	"I"	"abmag"	"13.6"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49466.6"	"band"	"I"	"abmag"	"13.64"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49466.6"	"band"	"R"	"abmag"	"14.05"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49466.6"	"band"	"R"	"abmag"	"14"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49466.6"	"band"	"V"	"abmag"	"14.6"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49466.6"	"band"	"V"	"abmag"	"14.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49467.02"	"band"	"V"	"abmag"	"13.88"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49468.5"	"band"	"I"	"abmag"	"13.8"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49468.5"	"band"	"I"	"abmag"	"13.79"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49468.5"	"band"	"R"	"abmag"	"14.26"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49468.5"	"band"	"R"	"abmag"	"14.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49468.5"	"band"	"V"	"abmag"	"14.77"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49468.5"	"band"	"V"	"abmag"	"14.8"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49469.31"	"band"	"V"	"abmag"	"14.95"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.31"	"band"	"I"	"abmag"	"13.81"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.31"	"band"	"R"	"abmag"	"14.39"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.32"	"band"	"R"	"abmag"	"14.36"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.32"	"band"	"V"	"abmag"	"14.9"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.32"	"band"	"I"	"abmag"	"13.76"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.32"	"band"	"B"	"abmag"	"16.0"	"aberr"	"0.32"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49469.94"	"band"	"B"	"abmag"	"16.25"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49469.94"	"band"	"V"	"abmag"	"15.03"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49470.3"	"band"	"R"	"abmag"	"14.5"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49470.3"	"band"	"V"	"abmag"	"15.11"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49470.3"	"band"	"I"	"abmag"	"13.96"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49470.3"	"band"	"B"	"abmag"	"15.97"	"aberr"	"0.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49470.6"	"band"	"I"	"abmag"	"14"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49470.6"	"band"	"I"	"abmag"	"13.91"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49470.6"	"band"	"R"	"abmag"	"14.39"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49470.6"	"band"	"R"	"abmag"	"14.4"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49470.6"	"band"	"V"	"abmag"	"15"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49470.6"	"band"	"V"	"abmag"	"14.9"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49471.29"	"band"	"R"	"abmag"	"14.58"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49471.29"	"band"	"V"	"abmag"	"15.12"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49471.29"	"band"	"I"	"abmag"	"13.96"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49472.6"	"band"	"I"	"abmag"	"14"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49472.6"	"band"	"R"	"abmag"	"14.49"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49472.6"	"band"	"R"	"abmag"	"14.6"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49472.6"	"band"	"V"	"abmag"	"15.01"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49472.6"	"band"	"V"	"abmag"	"15.2"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49474.29"	"band"	"R"	"abmag"	"14.69"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49474.29"	"band"	"V"	"abmag"	"15.27"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49474.29"	"band"	"I"	"abmag"	"14.09"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49474.5"	"band"	"I"	"abmag"	"14"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49474.5"	"band"	"I"	"abmag"	"14.07"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49474.5"	"band"	"R"	"abmag"	"14.64"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49474.5"	"band"	"R"	"abmag"	"14.6"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49474.5"	"band"	"V"	"abmag"	"15.2"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49474.5"	"band"	"V"	"abmag"	"15.1"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49475.29"	"band"	"R"	"abmag"	"14.81"	"aberr"	"0.19"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.29"	"band"	"V"	"abmag"	"15.26"	"aberr"	"0.12"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.29"	"band"	"I"	"abmag"	"14.1"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.31"	"band"	"V"	"abmag"	"15.45"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.31"	"band"	"I"	"abmag"	"14.13"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.31"	"band"	"B"	"abmag"	"16.28"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.31"	"band"	"R"	"abmag"	"14.8"	"aberr"	"0.08"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49475.99"	"band"	"B"	"abmag"	"15.12"	"source"	"3,9"
"photometry"	"timeunit"	"MJD"	"time"	"49475.99"	"band"	"V"	"abmag"	"14.43"	"source"	"3,9"
"photometry"	"timeunit"	"MJD"	"time"	"49476.28"	"band"	"R"	"abmag"	"14.86"	"aberr"	"0.15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49476.28"	"band"	"V"	"abmag"	"15.26"	"aberr"	"0.11"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49476.28"	"band"	"I"	"abmag"	"14.16"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.3"	"band"	"V"	"abmag"	"15.43"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.3"	"band"	"I"	"abmag"	"14.27"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.3"	"band"	"R"	"abmag"	"14.9"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.31"	"band"	"R"	"abmag"	"14.99"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.31"	"band"	"V"	"abmag"	"15.46"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.31"	"band"	"I"	"abmag"	"14.3"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49478.5"	"band"	"I"	"abmag"	"14.4"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49478.5"	"band"	"I"	"abmag"	"14.25"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49478.5"	"band"	"R"	"abmag"	"14.77"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49478.5"	"band"	"R"	"abmag"	"14.8"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49478.5"	"band"	"V"	"abmag"	"15.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49478.5"	"band"	"V"	"abmag"	"15.22"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49480.28"	"band"	"R"	"abmag"	"15.03"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49480.28"	"band"	"V"	"abmag"	"15.55"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49480.28"	"band"	"I"	"abmag"	"14.33"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49480.33"	"band"	"V"	"abmag"	"15.71"	"aberr"	"0.16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49480.33"	"band"	"I"	"abmag"	"14.32"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49480.33"	"band"	"R"	"abmag"	"15.04"	"aberr"	"0.21"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49481.31"	"band"	"V"	"abmag"	"15.56"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49481.31"	"band"	"I"	"abmag"	"14.37"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49481.31"	"band"	"B"	"abmag"	"16.61"	"aberr"	"0.08"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49481.31"	"band"	"R"	"abmag"	"15.03"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49481.7"	"band"	"I"	"abmag"	"14.4"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49481.7"	"band"	"I"	"abmag"	"14.34"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49481.7"	"band"	"R"	"abmag"	"14.87"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49481.7"	"band"	"R"	"abmag"	"15.1"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49481.7"	"band"	"V"	"abmag"	"15.36"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49481.7"	"band"	"V"	"abmag"	"15.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49484.7"	"band"	"I"	"abmag"	"14.4"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49484.7"	"band"	"I"	"abmag"	"14.53"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49484.7"	"band"	"R"	"abmag"	"15.08"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49484.7"	"band"	"R"	"abmag"	"15.2"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49484.7"	"band"	"V"	"abmag"	"15.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49484.7"	"band"	"V"	"abmag"	"15.56"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49485.26"	"band"	"R"	"abmag"	"15.27"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49485.26"	"band"	"V"	"abmag"	"15.69"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49485.26"	"band"	"I"	"abmag"	"14.55"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49485.27"	"band"	"V"	"abmag"	"15.71"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49485.27"	"band"	"I"	"abmag"	"14.51"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49485.27"	"band"	"B"	"abmag"	"16.56"	"aberr"	"0.11"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49485.27"	"band"	"R"	"abmag"	"15.18"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49486.25"	"band"	"V"	"abmag"	"15.7"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49486.25"	"band"	"B"	"abmag"	"16.76"	"aberr"	"0.08"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49486.25"	"band"	"R"	"abmag"	"15.21"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49488.5"	"band"	"I"	"abmag"	"14.59"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49488.5"	"band"	"R"	"abmag"	"15.12"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49488.5"	"band"	"V"	"abmag"	"15.65"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49490.2"	"band"	"V"	"abmag"	"15.9"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49490.2"	"band"	"I"	"abmag"	"14.62"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49490.2"	"band"	"B"	"abmag"	"16.58"	"aberr"	"0.16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49490.2"	"band"	"R"	"abmag"	"15.41"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49491.5"	"band"	"I"	"abmag"	"14.65"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49491.5"	"band"	"R"	"abmag"	"15.19"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49491.5"	"band"	"V"	"abmag"	"15.65"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49493.25"	"band"	"R"	"abmag"	"15.46"	"aberr"	"0.16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49493.25"	"band"	"V"	"abmag"	"16.05"	"aberr"	"0.11"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49493.25"	"band"	"I"	"abmag"	"14.8"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49493.32"	"band"	"V"	"abmag"	"15.94"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49493.32"	"band"	"I"	"abmag"	"14.74"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49493.32"	"band"	"B"	"abmag"	"16.88"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49493.32"	"band"	"R"	"abmag"	"15.45"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.27"	"band"	"R"	"abmag"	"15.48"	"aberr"	"0.16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.27"	"band"	"V"	"abmag"	"16.0"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.27"	"band"	"I"	"abmag"	"14.81"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.37"	"band"	"V"	"abmag"	"15.89"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.37"	"band"	"I"	"abmag"	"14.74"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.37"	"band"	"B"	"abmag"	"16.86"	"aberr"	"0.09"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49494.37"	"band"	"R"	"abmag"	"15.49"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49495.28"	"band"	"R"	"abmag"	"15.5"	"aberr"	"0.29"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49495.28"	"band"	"V"	"abmag"	"16.03"	"aberr"	"0.21"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49495.28"	"band"	"I"	"abmag"	"14.91"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49495.6"	"band"	"I"	"abmag"	"14.66"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49495.6"	"band"	"R"	"abmag"	"15.34"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49495.6"	"band"	"V"	"abmag"	"15.86"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49495.93"	"band"	"B"	"abmag"	"16.92"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49500.5"	"band"	"I"	"abmag"	"14.9"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49500.5"	"band"	"R"	"abmag"	"15.56"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49500.5"	"band"	"V"	"abmag"	"15.87"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49501.36"	"band"	"V"	"abmag"	"16.18"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49501.36"	"band"	"I"	"abmag"	"15.0"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49501.36"	"band"	"B"	"abmag"	"17.21"	"aberr"	"0.14"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49501.36"	"band"	"R"	"abmag"	"15.73"	"aberr"	"0.09"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49502.29"	"band"	"V"	"abmag"	"16.24"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49502.29"	"band"	"I"	"abmag"	"15.04"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49502.29"	"band"	"B"	"abmag"	"17.06"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49502.29"	"band"	"R"	"abmag"	"15.75"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49502.6"	"band"	"I"	"abmag"	"14.88"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49502.6"	"band"	"R"	"abmag"	"15.47"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49502.6"	"band"	"V"	"abmag"	"15.92"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49504.21"	"band"	"V"	"abmag"	"16.21"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49504.21"	"band"	"I"	"abmag"	"15.08"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49504.21"	"band"	"B"	"abmag"	"16.93"	"aberr"	"0.17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49504.21"	"band"	"R"	"abmag"	"15.74"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49505.44"	"band"	"V"	"abmag"	"16.26"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49505.44"	"band"	"I"	"abmag"	"15.05"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49505.44"	"band"	"R"	"abmag"	"15.78"	"aberr"	"0.12"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49511.21"	"band"	"V"	"abmag"	"16.48"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49511.21"	"band"	"I"	"abmag"	"15.3"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49511.21"	"band"	"B"	"abmag"	"17.21"	"aberr"	"0.18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49511.21"	"band"	"R"	"abmag"	"15.99"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49514.21"	"band"	"V"	"abmag"	"16.58"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49514.21"	"band"	"I"	"abmag"	"15.37"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49514.21"	"band"	"R"	"abmag"	"16.04"	"aberr"	"0.06"	"source"	"1,2"
