#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-01-02T16:20:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5687f89e0b00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/200/12/table6
#-nav=cat:J/ApJS/200/12&tab:{J/ApJS/200/12/table6}&key:source=J/ApJS/200/12/table6&HTTPPRM:&&-ref=VIZ5687f89e0b00&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=Filt&-out=MJD&-out=N&-out=sigPip&-out=sigPhot&-out=mag&-out=e_mag&-out=Per&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/200/12/table6
#-source=J/ApJS/200/12/table6
#-order=I
#-out=SN
#-out=Filt
#-out=MJD
#-out=N
#-out=sigPip
#-out=sigPhot
#-out=mag
#-out=e_mag
#-out=Per
#

#RESOURCE=yCat_22000012
#Name: J/ApJS/200/12
#Title: CfA4: light curves for 94 type Ia SNe (Hicken+, 2012)
#Table	J_ApJS_200_12_table6:
#Name: J/ApJS/200/12/table6
#Title: Standard system SN photometry
#Column	SN	(a14)	Supernova identifier	[ucd=meta.id;meta.main]
#Column	Filt	(A2)	Filter used in the observation (BUVi'r'u')	[ucd=instr.setup;obs]
#Column	MJD	(F11.5)	Modified Julian Date of observation	[ucd=time.epoch]
#Column	N	(I2)	Number of successful subtractions (1)	[ucd=meta.number]
#Column	sigPip	(F7.4)	Median pipeline-generated uncertainty (2)	[ucd=stat.error;phot.mag]
#Column	sigPhot	(F7.4)	Standard deviation of surviving photometry for that date	[ucd=stat.stdev;phot.mag]
#Column	mag	(F7.4)	Observed magnitude in Filter	[ucd=phot.mag]
#Column	e_mag	(F7.4)	Total uncertainty in mag (3)	[ucd=stat.error;phot.mag]
#Column	Per	(A3)	[one/two] Period the photometry belongs to (only for table 5) (4)	[ucd=meta.code]
SN|Filt|MJD|N|sigPip|sigPhot|mag|e_mag|Per
2007jg        |B |54433.28156| 1| 0.3360| 0.2244|20.8257| 0.4040|
2007jg        |B |54438.39800| 4| 0.2325| 0.1282|20.7684| 0.2655|
2007jg        |V |54368.50021| 4| 0.0195| 0.0084|17.5043| 0.0213|
2007jg        |V |54370.44476| 4| 0.0210| 0.0093|17.5109| 0.0230|
2007jg        |V |54379.43398| 4| 0.0255| 0.0132|18.0694| 0.0287|
2007jg        |V |54380.47986| 4| 0.0255| 0.0099|18.1258| 0.0273|
2007jg        |V |54381.47875| 4| 0.0275| 0.0169|18.2138| 0.0323|
2007jg        |V |54383.42468| 4| 0.0300| 0.0205|18.3640| 0.0364|
2007jg        |V |54384.44610| 4| 0.0310| 0.0188|18.4193| 0.0363|
2007jg        |V |54389.45556| 4| 0.0355| 0.0230|18.6246| 0.0423|
2007jg        |V |54394.43207| 4| 0.0505| 0.0360|18.9543| 0.0620|
2007jg        |V |54395.39076| 4| 0.1265| 0.0682|19.2114| 0.1437|
2007jg        |V |54398.46950| 4| 0.0880| 0.0583|19.3019| 0.1055|
2007jg        |V |54400.39889| 3| 0.1480| 0.0532|19.3267| 0.1573|
2007jg        |V |54401.47078| 4| 0.1790| 0.0271|19.5115| 0.1810|
2007jg        |V |54402.38520| 3| 0.1780| 0.0617|19.6448| 0.1884|
2007jg        |V |54404.35346| 4| 0.0990| 0.0896|19.7729| 0.1335|
2007jg        |V |54406.40391| 4| 0.0775| 0.0388|19.6332| 0.0867|
2007jg        |V |54407.37410| 4| 0.0820| 0.0410|19.6964| 0.0917|
2007jg        |V |54409.34152| 4| 0.0910| 0.0469|19.8047| 0.1024|
2007jg        |V |54412.34355| 8| 0.0995| 0.0700|19.8517| 0.1217|
2007jg        |V |54413.40282| 4| 0.1030| 0.0624|19.9828| 0.1205|
2007jg        |V |54416.25045| 4| 0.1130| 0.0642|20.1021| 0.1300|
2007jg        |V |54419.25940| 4| 0.1250| 0.0615|20.1738| 0.1393|
2007jg        |V |54423.38102| 4| 0.1435| 0.0926|20.3530| 0.1708|
2007jg        |V |54431.32782| 4| 0.2790| 0.2227|20.5268| 0.3570|
2007jg        |V |54437.32534| 3| 0.2310| 0.1612|20.5838| 0.2817|
2007jg        |V |54438.39060| 3| 0.2340| 0.1848|20.7158| 0.2982|
2007jg        |r'|54368.49789| 3| 0.0200| 0.0032|17.4570| 0.0203|
2007jg        |r'|54369.38366| 3| 0.0210| 0.0047|17.4534| 0.0215|
2007jg        |r'|54370.44244| 3| 0.0240| 0.0035|17.5358| 0.0242|
2007jg        |r'|54379.43167| 3| 0.0220| 0.0058|18.0554| 0.0227|
2007jg        |r'|54380.47755| 3| 0.0240| 0.0085|18.0996| 0.0255|
2007jg        |r'|54381.47643| 3| 0.0260| 0.0057|18.1511| 0.0266|
2007jg        |r'|54383.42237| 3| 0.0250| 0.0070|18.2053| 0.0260|
2007jg        |r'|54384.44377| 3| 0.0260| 0.0070|18.2400| 0.0269|
2007jg        |r'|54389.45323| 3| 0.0290| 0.0087|18.3368| 0.0303|
2007jg        |r'|54394.42976| 3| 0.0320| 0.0042|18.4970| 0.0323|
2007jg        |r'|54395.38846| 2| 0.0815| 0.0148|18.6329| 0.0828|
2007jg        |r'|54398.46718| 3| 0.0500| 0.0184|18.6902| 0.0533|
2007jg        |r'|54404.35115| 3| 0.0580| 0.0177|19.3209| 0.0606|
2007jg        |r'|54406.40160| 3| 0.0540| 0.0222|19.3102| 0.0584|
2007jg        |r'|54407.37178| 3| 0.0550| 0.0125|19.3772| 0.0564|
2007jg        |r'|54409.33919| 3| 0.0620| 0.0326|19.3395| 0.0700|
2007jg        |r'|54412.34053| 6| 0.0710| 0.0296|19.5625| 0.0769|
2007jg        |r'|54413.39979| 3| 0.0640| 0.0160|19.5653| 0.0660|
2007jg        |r'|54416.24744| 3| 0.0770| 0.0025|19.6987| 0.0770|
2007jg        |r'|54419.25639| 3| 0.0840| 0.0470|19.8171| 0.0963|
2007jg        |r'|54423.37801| 3| 0.0850| 0.0418|19.8560| 0.0947|
2007jg        |r'|54433.27118| 3| 0.2660| 0.2320|19.8382| 0.3530|
2007jg        |r'|54437.32231| 3| 0.1720| 0.2121|20.2655| 0.2730|
2007jg        |i'|54368.49558| 4| 0.0280| 0.0104|18.0227| 0.0299|
2007jg        |i'|54369.38134| 3| 0.0370| 0.0102|18.0781| 0.0384|
2007jg        |i'|54370.44013| 4| 0.0360| 0.0192|18.0336| 0.0408|
2007jg        |i'|54379.42934| 4| 0.0480| 0.0346|18.7391| 0.0592|
2007jg        |i'|54380.46149| 7| 0.0430| 0.0382|18.7791| 0.0575|
2007jg        |i'|54381.47411| 4| 0.0560| 0.0206|18.8697| 0.0597|
2007jg        |i'|54383.42005| 4| 0.0465| 0.0228|18.7379| 0.0518|
2007jg        |i'|54384.44144| 4| 0.0390| 0.0254|18.7736| 0.0465|
2007jg        |i'|54389.45093| 4| 0.0375| 0.0283|18.5872| 0.0470|
2007jg        |i'|54394.42405| 4| 0.0355| 0.0304|18.5061| 0.0467|
2007jg        |i'|54395.38615| 2| 0.0955| 0.0460|18.5302| 0.1060|
2007jg        |i'|54404.34883| 4| 0.0545| 0.0284|19.1900| 0.0615|
2007jg        |i'|54406.39929| 4| 0.0605| 0.0384|19.2356| 0.0717|
2007jg        |i'|54407.36949| 4| 0.0645| 0.0383|19.4124| 0.0750|
2007jg        |i'|54409.33688| 4| 0.0740| 0.0300|19.4479| 0.0799|
2007jg        |i'|54412.33752| 8| 0.0725| 0.0723|19.5589| 0.1024|
2007jg        |i'|54413.39677| 4| 0.0785| 0.0276|19.6295| 0.0832|
2007jg        |i'|54416.24441| 4| 0.0955| 0.0655|19.8778| 0.1158|
2007jg        |i'|54419.25337| 4| 0.1280| 0.0934|20.1353| 0.1585|
2007jg        |i'|54423.37499| 4| 0.1580| 0.1105|20.3731| 0.1928|
2007jg        |i'|54437.31932| 3| 0.2640| 0.1465|20.4486| 0.3019|
2007jg        |i'|54438.38458| 4| 0.2490| 0.1941|20.7738| 0.3157|
2007kd        |U |54369.50679| 3| 0.1010| 0.0685|17.2189| 0.1221|
2007kd        |U |54384.52165| 3| 0.2240| 0.0411|18.3607| 0.2277|
2007kd        |B |54369.50373| 1| 0.0440| 0.0243|17.0185| 0.0503|
2007kd        |B |54384.51861| 4| 0.0795| 0.0244|18.2200| 0.0831|
2007kd        |B |54385.51838| 1| 0.0510| 0.0625|18.2762| 0.0807|
2007kd        |B |54400.50242| 2| 0.1005| 0.0594|18.5505| 0.1167|
2007kd        |B |54401.50216| 2| 0.1105| 0.0693|18.6581| 0.1304|
2007kd        |B |54402.47806| 7| 0.0860| 0.0404|18.6453| 0.0950|
2007kd        |V |54369.50141| 6| 0.0270| 0.0124|16.6064| 0.0297|
2007kd        |V |54384.51630| 1| 0.0200| 0.0247|17.3027| 0.0318|
2007kd        |V |54385.51605| 8| 0.0215| 0.0153|17.3433| 0.0264|
2007kd        |V |54400.49941| 7| 0.0300| 0.0442|18.0545| 0.0534|
2007kd        |V |54401.49915| 6| 0.0430| 0.0424|18.1072| 0.0604|
2007kd        |V |54402.47504| 4| 0.0665| 0.0348|18.2170| 0.0750|
2007kd        |r'|54369.49980| 8| 0.0205| 0.0147|16.6542| 0.0252|
2007kd        |r'|54384.51466| 6| 0.0190| 0.0080|16.9994| 0.0206|
2007kd        |r'|54385.51443| 8| 0.0190| 0.0173|17.0227| 0.0257|
2007kd        |r'|54400.49709| 8| 0.0245| 0.0137|17.8191| 0.0281|
2007kd        |r'|54401.49684| 8| 0.0305| 0.0268|17.8245| 0.0406|
2007kd        |i'|54369.49819| 8| 0.0280| 0.0159|17.4247| 0.0322|
2007kd        |i'|54384.51304| 6| 0.0240| 0.0131|17.2173| 0.0273|
2007kd        |i'|54385.51281| 7| 0.0230| 0.0193|17.2843| 0.0300|
2007kd        |i'|54400.49478| 6| 0.0300| 0.0134|18.1016| 0.0329|
2007kd        |i'|54401.49451| 7| 0.0340| 0.0194|18.1396| 0.0391|
2007kf        |B |54372.10241|16| 0.1055| 0.1473|19.4696| 0.1812|
2007kf        |B |54380.10095|16| 0.1300| 0.2405|19.5322| 0.2734|
2007kf        |B |54404.15714|14| 0.1810| 0.2840|19.9297| 0.3368|
2007kf        |V |54372.09685| 8| 0.0400| 0.0254|18.5071| 0.0474|
2007kf        |V |54380.09561| 4| 0.1040| 0.0575|18.7037| 0.1188|
2007kf        |V |54404.15213| 7| 0.1020| 0.0486|19.4294| 0.1130|
2007kf        |r'|54372.09383|10| 0.0295| 0.0184|18.1650| 0.0348|
2007kf        |r'|54380.09259| 8| 0.1405| 0.0893|18.8362| 0.1665|
2007kf        |r'|54404.14911| 9| 0.0590| 0.0648|19.0774| 0.0877|
2007kf        |i'|54372.09082| 8| 0.0330| 0.0365|18.1263| 0.0492|
2007kf        |i'|54380.08957| 9| 0.0570| 0.0502|18.4378| 0.0760|
2007kf        |i'|54404.14610| 9| 0.0780| 0.0910|19.2645| 0.1199|
2007kg        |B |54369.25318| 2| 0.0965| 0.0247|18.9322| 0.0996|
2007kg        |B |54370.36258| 2| 0.0805| 0.0141|18.7163| 0.0817|
2007kg        |B |54372.44314| 6| 0.0770| 0.0539|18.6635| 0.0940|
2007kg        |B |54379.31334| 8| 0.0765| 0.1577|18.7889| 0.1753|
2007kg        |B |54401.30125| 7| 0.0980| 0.1750|19.4145| 0.2005|
2007kg        |B |54402.24047|11| 0.0830| 0.1625|19.0875| 0.1825|
2007kg        |B |54404.22038| 9| 0.0960| 0.1546|19.6225| 0.1820|
2007kg        |V |54369.24649| 7| 0.0310| 0.0149|17.6286| 0.0344|
2007kg        |V |54370.35773| 7| 0.0280| 0.0244|17.6973| 0.0371|
2007kg        |V |54372.43644| 7| 0.0400| 0.0282|17.7559| 0.0489|
2007kg        |V |54379.30755| 7| 0.0300| 0.0300|17.8932| 0.0424|
2007kg        |V |54400.36319| 7| 0.0520| 0.0310|18.3261| 0.0605|
2007kg        |V |54401.29559| 7| 0.0410| 0.0312|18.3310| 0.0515|
2007kg        |V |54402.23544| 7| 0.0420| 0.0308|18.2702| 0.0521|
2007kg        |V |54404.21573| 6| 0.0360| 0.0416|18.4298| 0.0550|
2007kg        |r'|54369.24417| 4| 0.0225| 0.0179|17.2402| 0.0288|
2007kg        |r'|54370.35541| 4| 0.0235| 0.0170|17.2934| 0.0290|
2007kg        |r'|54372.43412| 4| 0.0305| 0.0308|17.3473| 0.0433|
2007kg        |r'|54379.30523| 4| 0.0290| 0.0354|17.5174| 0.0457|
2007kg        |r'|54401.29328| 4| 0.0350| 0.0403|18.0718| 0.0534|
2007kg        |r'|54402.23311| 4| 0.0455| 0.0391|18.1017| 0.0600|
2007kg        |r'|54404.21343| 3| 0.0340| 0.0222|18.1148| 0.0406|
2007kg        |i'|54369.24186| 4| 0.0240| 0.0116|16.9474| 0.0267|
2007kg        |i'|54370.35310| 4| 0.0220| 0.0145|16.9506| 0.0264|
2007kg        |i'|54372.43179| 1| 0.0320| 0.0186|16.9674| 0.0370|
2007kg        |i'|54379.30292| 4| 0.0260| 0.0189|17.2141| 0.0322|
2007kg        |i'|54401.29097| 4| 0.0305| 0.0369|17.7705| 0.0479|
2007kg        |i'|54402.23080| 4| 0.0320| 0.0426|17.7691| 0.0533|
2007kg        |i'|54404.21110| 4| 0.0300| 0.0356|17.8332| 0.0466|
2007kh        |B |54369.35660| 2| 0.1030| 0.0870|18.7090| 0.1348|
2007kh        |B |54370.46983| 2| 0.0825| 0.1336|18.4336| 0.1571|
2007kh        |B |54379.47927|20| 0.0790| 0.1022|19.5243| 0.1291|
2007kh        |B |54380.42589|20| 0.0820| 0.1458|19.6287| 0.1673|
2007kh        |B |54406.39204|14| 0.2570| 0.1934|21.0584| 0.3216|
2007kh        |B |54407.42718|12| 0.2905| 0.1913|21.1933| 0.3478|
2007kh        |B |54409.38712|12| 0.2940| 0.1787|21.4312| 0.3440|
2007kh        |B |54412.39317|18| 0.2665| 0.2974|21.1843| 0.3993|
2007kh        |B |54413.42601|13| 0.2520| 0.2009|21.1311| 0.3223|
2007kh        |B |54416.27568| 7| 0.2220| 0.2111|21.2595| 0.3063|
2007kh        |B |54419.24459| 2| 0.2715| 0.0127|21.5754| 0.2718|
2007kh        |V |54369.35103| 9| 0.0370| 0.0311|18.2759| 0.0483|
2007kh        |V |54370.46425| 9| 0.0360| 0.0185|18.3265| 0.0405|
2007kh        |V |54379.47370| 9| 0.0380| 0.0440|18.6732| 0.0581|
2007kh        |V |54380.42035| 9| 0.0440| 0.0453|18.7373| 0.0632|
2007kh        |V |54402.35682| 7| 0.1670| 0.0997|19.8580| 0.1945|
2007kh        |V |54406.38649| 9| 0.1270| 0.1249|20.1212| 0.1781|
2007kh        |V |54407.42193| 9| 0.1350| 0.1286|20.0678| 0.1864|
2007kh        |V |54409.38157| 8| 0.1305| 0.1385|20.2239| 0.1903|
2007kh        |V |54412.38320|17| 0.1290| 0.2151|20.2595| 0.2509|
2007kh        |V |54413.42087| 9| 0.1200| 0.1323|20.0086| 0.1786|
2007kh        |V |54416.26880| 9| 0.1510| 0.1826|20.4256| 0.2370|
2007kh        |V |54419.24088| 8| 0.1710| 0.1898|20.4278| 0.2555|
2007kh        |V |54425.38382| 7| 0.2300| 0.1688|20.6091| 0.2853|
2007kh        |V |54431.30893| 8| 0.2310| 0.1810|20.3349| 0.2934|
2007kh        |V |54437.35154| 8| 0.2685| 0.1956|20.7266| 0.3322|
2007kh        |V |54438.42227| 6| 0.2620| 0.2274|20.9803| 0.3469|
2007kh        |r'|54369.34802| 9| 0.0280| 0.0186|18.1345| 0.0336|
2007kh        |r'|54370.46123| 9| 0.0260| 0.0162|18.0850| 0.0306|
2007kh        |r'|54379.47069| 9| 0.0370| 0.0330|18.5375| 0.0496|
2007kh        |r'|54380.41733| 9| 0.0320| 0.0306|18.5913| 0.0443|
2007kh        |r'|54402.35380| 9| 0.1070| 0.0766|19.7120| 0.1316|
2007kh        |r'|54404.44920| 9| 0.0780| 0.0932|19.5660| 0.1215|
2007kh        |r'|54406.38347| 9| 0.0610| 0.0665|19.5456| 0.0902|
2007kh        |r'|54407.41892| 9| 0.0660| 0.0771|19.5343| 0.1015|
2007kh        |r'|54409.37855| 9| 0.0720| 0.0946|19.7016| 0.1189|
2007kh        |r'|54412.37966|18| 0.0765| 0.0739|19.7732| 0.1063|
2007kh        |r'|54413.41787| 9| 0.0830| 0.1082|19.8576| 0.1363|
2007kh        |r'|54416.26579| 9| 0.1110| 0.1414|20.0671| 0.1798|
2007kh        |r'|54419.23787| 9| 0.0800| 0.0962|19.8592| 0.1251|
2007kh        |r'|54425.38082| 9| 0.1070| 0.0831|19.9782| 0.1354|
2007kh        |r'|54431.35126|11| 0.1950| 0.2017|20.4751| 0.2806|
2007kh        |r'|54437.34853| 9| 0.1830| 0.2676|20.4233| 0.3242|
2007kh        |r'|54438.41926| 9| 0.2130| 0.2691|20.7923| 0.3432|
2007kh        |i'|54369.34500| 8| 0.0395| 0.0274|18.5374| 0.0481|
2007kh        |i'|54370.45822| 8| 0.0450| 0.0399|18.6134| 0.0601|
2007kh        |i'|54379.46770| 7| 0.0550| 0.0473|19.0900| 0.0725|
2007kh        |i'|54380.41433| 8| 0.0680| 0.0752|19.2907| 0.1014|
2007kh        |i'|54402.35080| 8| 0.0730| 0.0514|19.0940| 0.0893|
2007kh        |i'|54404.44620| 8| 0.0685| 0.0666|19.2773| 0.0956|
2007kh        |i'|54406.38044| 8| 0.0745| 0.0661|19.4636| 0.0996|
2007kh        |i'|54407.41593| 8| 0.0810| 0.0729|19.5173| 0.1090|
2007kh        |i'|54409.37552| 7| 0.0880| 0.1071|19.6010| 0.1386|
2007kh        |i'|54412.37665|16| 0.0985| 0.0983|19.8196| 0.1392|
2007kh        |i'|54413.41486| 8| 0.0980| 0.0967|19.8397| 0.1376|
2007kh        |i'|54416.26279| 5| 0.1610| 0.1611|20.1666| 0.2278|
2007kh        |i'|54419.23486| 8| 0.1155| 0.1063|20.0272| 0.1570|
2007kh        |i'|54425.37781| 8| 0.1350| 0.1116|20.0652| 0.1751|
2007kh        |i'|54431.27357| 4| 0.1580| 0.0569|19.9110| 0.1679|
2007kh        |i'|54437.34552| 6| 0.2160| 0.1947|20.6414| 0.2908|
2007kh        |i'|54438.41624| 8| 0.1755| 0.1595|20.5301| 0.2371|
2007kk        |B |54380.44379|16| 0.0210| 0.0133|17.7439| 0.0248|
2007kk        |B |54383.41074|16| 0.0210| 0.0118|17.7718| 0.0241|
2007kk        |B |54384.46951|16| 0.0220| 0.0151|17.7540| 0.0267|
2007kk        |B |54387.44110|16| 0.0220| 0.0169|17.8950| 0.0277|
2007kk        |B |54388.49145|16| 0.0225| 0.0158|17.9135| 0.0275|
2007kk        |B |54389.41535|16| 0.0220| 0.0215|17.9762| 0.0307|
2007kk        |B |54394.47096|16| 0.0285| 0.0222|18.3556| 0.0361|
2007kk        |B |54395.41149|10| 0.0535| 0.0567|18.5528| 0.0779|
2007kk        |B |54398.49062| 6| 0.0615| 0.0495|18.6663| 0.0790|
2007kk        |B |54402.40559| 3| 0.1100| 0.1473|19.1722| 0.1838|
2007kk        |B |54404.47630|16| 0.0720| 0.0607|19.4359| 0.0941|
2007kk        |B |54405.50119|16| 0.0795| 0.1383|19.5090| 0.1595|
2007kk        |B |54406.44201|16| 0.0650| 0.0590|19.4955| 0.0878|
2007kk        |B |54407.44709|16| 0.0855| 0.0730|19.7925| 0.1125|
2007kk        |B |54408.52744|16| 0.1090| 0.1263|19.5896| 0.1668|
2007kk        |B |54409.40592|16| 0.0885| 0.1027|19.9203| 0.1356|
2007kk        |B |54411.49928|16| 0.1260| 0.1655|20.0733| 0.2080|
2007kk        |B |54412.42499|32| 0.1120| 0.1126|20.2245| 0.1588|
2007kk        |B |54413.44425|16| 0.1285| 0.1861|20.3067| 0.2261|
2007kk        |B |54416.29268|16| 0.1625| 0.1773|20.7385| 0.2405|
2007kk        |B |54419.28359|16| 0.1520| 0.1664|20.4307| 0.2254|
2007kk        |B |54423.40652|16| 0.1510| 0.1795|20.6206| 0.2345|
2007kk        |B |54424.45289|14| 0.1830| 0.2969|20.6822| 0.3488|
2007kk        |B |54425.36696|25| 0.1980| 0.3322|20.5000| 0.3867|
2007kk        |B |54437.38871|13| 0.2310| 0.2462|20.4569| 0.3376|
2007kk        |B |54438.45051|12| 0.2515| 0.2115|20.9846| 0.3286|
2007kk        |B |54452.23472|16| 0.2125| 0.2665|20.6602| 0.3408|
2007kk        |V |54380.43824| 8| 0.0235| 0.0147|17.6401| 0.0277|
2007kk        |V |54383.40521| 8| 0.0210| 0.0119|17.5647| 0.0241|
2007kk        |V |54384.46396| 7| 0.0210| 0.0069|17.5533| 0.0221|
2007kk        |V |54387.43553| 8| 0.0225| 0.0120|17.5786| 0.0255|
2007kk        |V |54388.48590| 8| 0.0225| 0.0081|17.5864| 0.0239|
2007kk        |V |54389.40980| 8| 0.0225| 0.0124|17.6228| 0.0257|
2007kk        |V |54394.46541| 7| 0.0230| 0.0126|17.8359| 0.0262|
2007kk        |V |54395.40632| 6| 0.0340| 0.0261|17.8384| 0.0429|
2007kk        |V |54398.48444| 8| 0.0305| 0.0182|18.0358| 0.0355|
2007kk        |V |54402.39940| 3| 0.0700| 0.0176|18.4287| 0.0722|
2007kk        |V |54404.47073| 8| 0.0400| 0.0368|18.4137| 0.0544|
2007kk        |V |54405.49565| 8| 0.0395| 0.0203|18.4529| 0.0444|
2007kk        |V |54406.43645| 8| 0.0370| 0.0239|18.4200| 0.0440|
2007kk        |V |54407.44154| 8| 0.0400| 0.0199|18.4928| 0.0447|
2007kk        |V |54408.52189| 8| 0.0525| 0.0386|18.6481| 0.0652|
2007kk        |V |54409.40037| 8| 0.0415| 0.0167|18.5522| 0.0447|
2007kk        |V |54411.49375| 7| 0.0570| 0.0332|18.7165| 0.0660|
2007kk        |V |54412.41943|16| 0.0460| 0.0645|18.7467| 0.0792|
2007kk        |V |54413.43870| 8| 0.0515| 0.0205|18.8670| 0.0554|
2007kk        |V |54416.28713| 8| 0.0520| 0.0422|19.0773| 0.0670|
2007kk        |V |54419.27802| 8| 0.0660| 0.0401|19.2019| 0.0772|
2007kk        |V |54423.40095| 7| 0.0770| 0.0563|19.4160| 0.0954|
2007kk        |V |54424.44707| 7| 0.0760| 0.0666|19.3501| 0.1011|
2007kk        |V |54425.34642|10| 0.0930| 0.0743|19.4828| 0.1191|
2007kk        |V |54431.33028| 8| 0.1390| 0.0523|19.5948| 0.1485|
2007kk        |V |54433.29564| 7| 0.1180| 0.0418|19.7595| 0.1252|
2007kk        |V |54437.38274| 6| 0.1435| 0.0858|19.7172| 0.1672|
2007kk        |V |54438.44557| 6| 0.1105| 0.1075|19.7554| 0.1541|
2007kk        |V |54440.33333| 6| 0.1090| 0.1116|19.9809| 0.1560|
2007kk        |V |54452.22917| 7| 0.1260| 0.0679|19.9269| 0.1431|
2007kk        |V |54454.22728| 8| 0.2075| 0.1361|20.0240| 0.2482|
2007kk        |r'|54380.43522|10| 0.0210| 0.0115|17.6125| 0.0240|
2007kk        |r'|54383.40220|10| 0.0190| 0.0089|17.5268| 0.0210|
2007kk        |r'|54384.46094|10| 0.0210| 0.0092|17.5042| 0.0229|
2007kk        |r'|54387.43251|10| 0.0185| 0.0089|17.5159| 0.0205|
2007kk        |r'|54388.48288|10| 0.0210| 0.0134|17.5457| 0.0249|
2007kk        |r'|54389.40678|10| 0.0200| 0.0080|17.5788| 0.0215|
2007kk        |r'|54394.46238|10| 0.0225| 0.0159|17.7971| 0.0276|
2007kk        |r'|54395.40331| 8| 0.0350| 0.0304|17.7874| 0.0464|
2007kk        |r'|54398.48145| 9| 0.0320| 0.0282|18.0082| 0.0426|
2007kk        |r'|54402.39640| 2| 0.0880| 0.0085|18.0347| 0.0884|
2007kk        |r'|54404.46772|10| 0.0280| 0.0210|18.1180| 0.0350|
2007kk        |r'|54405.49263|10| 0.0290| 0.0133|18.1778| 0.0319|
2007kk        |r'|54406.43344|10| 0.0260| 0.0155|18.1163| 0.0303|
2007kk        |r'|54407.43853|10| 0.0260| 0.0141|18.1394| 0.0296|
2007kk        |r'|54408.51888|10| 0.0310| 0.0200|18.2045| 0.0369|
2007kk        |r'|54409.39736|10| 0.0275| 0.0242|18.2083| 0.0366|
2007kk        |r'|54411.49072|10| 0.0325| 0.0187|18.2939| 0.0375|
2007kk        |r'|54412.41643|20| 0.0290| 0.0217|18.3329| 0.0362|
2007kk        |r'|54413.43569|10| 0.0310| 0.0159|18.4046| 0.0349|
2007kk        |r'|54416.28412|10| 0.0320| 0.0325|18.5779| 0.0456|
2007kk        |r'|54419.27501|10| 0.0385| 0.0313|18.7662| 0.0496|
2007kk        |r'|54423.39794|10| 0.0505| 0.0415|18.9967| 0.0654|
2007kk        |r'|54424.44405|10| 0.0450| 0.0418|18.9715| 0.0614|
2007kk        |r'|54425.36450|20| 0.0515| 0.0442|18.9575| 0.0679|
2007kk        |r'|54431.36026|15| 0.0870| 0.0750|19.1822| 0.1148|
2007kk        |r'|54433.29263| 7| 0.0860| 0.0233|19.4450| 0.0891|
2007kk        |r'|54437.37973|10| 0.0805| 0.0678|19.3920| 0.1052|
2007kk        |r'|54438.44255|10| 0.0820| 0.0491|19.4114| 0.0956|
2007kk        |r'|54440.33031|10| 0.0620| 0.0512|19.4080| 0.0804|
2007kk        |r'|54452.22615|10| 0.1115| 0.0786|19.9424| 0.1364|
2007kk        |r'|54454.22427|10| 0.1375| 0.0985|19.9683| 0.1692|
2007kk        |r'|54462.25482|10| 0.1280| 0.0980|20.1314| 0.1612|
2007kk        |i'|54380.43221|10| 0.0305| 0.0221|17.9989| 0.0377|
2007kk        |i'|54383.39918|10| 0.0270| 0.0196|17.9902| 0.0334|
2007kk        |i'|54384.45792|10| 0.0280| 0.0241|17.9979| 0.0370|
2007kk        |i'|54387.42949|10| 0.0285| 0.0198|18.0304| 0.0347|
2007kk        |i'|54388.47988|10| 0.0290| 0.0161|18.0274| 0.0331|
2007kk        |i'|54389.40376|10| 0.0290| 0.0200|18.0862| 0.0352|
2007kk        |i'|54394.45936|10| 0.0340| 0.0241|18.3645| 0.0417|
2007kk        |i'|54395.40030| 7| 0.0690| 0.0525|18.5044| 0.0867|
2007kk        |i'|54398.47843|10| 0.0580| 0.0269|18.5369| 0.0639|
2007kk        |i'|54402.39339| 4| 0.1695| 0.0337|18.5492| 0.1728|
2007kk        |i'|54404.46472|10| 0.0420| 0.0224|18.4996| 0.0476|
2007kk        |i'|54405.48962|10| 0.0410| 0.0288|18.3918| 0.0501|
2007kk        |i'|54406.43042|10| 0.0365| 0.0197|18.3813| 0.0415|
2007kk        |i'|54407.43552|10| 0.0350| 0.0214|18.3507| 0.0410|
2007kk        |i'|54408.51587|10| 0.0390| 0.0239|18.3586| 0.0457|
2007kk        |i'|54409.39433|10| 0.0335| 0.0204|18.3515| 0.0392|
2007kk        |i'|54411.48771|10| 0.0380| 0.0203|18.3272| 0.0431|
2007kk        |i'|54412.41340|20| 0.0350| 0.0284|18.3606| 0.0451|
2007kk        |i'|54413.43268|10| 0.0360| 0.0244|18.4005| 0.0435|
2007kk        |i'|54416.28109|10| 0.0340| 0.0224|18.5171| 0.0407|
2007kk        |i'|54419.27199|10| 0.0400| 0.0271|18.6121| 0.0483|
2007kk        |i'|54423.39492|10| 0.0490| 0.0494|18.9928| 0.0696|
2007kk        |i'|54424.44104|10| 0.0555| 0.0435|19.0236| 0.0705|
